dbId,domainId,eqId,freewayId,latitude,locationId,longitude,mainDirection,url
2030593,P,CCTV-N5-N-21.546-M,10050,24.896628,0,121.757176,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402308
2030594,P,CCTV-N5-N-21.633-M,10050,24.896038,0,121.757674,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402309
2030595,P,CCTV-N5-N-21.722-M,10050,24.895388,0,121.758232,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402310
2030596,P,CCTV-N5-N-21.808-C,10050,24.894627,0,121.758616,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403802
2030597,P,CCTV-N5-N-21.810-M,10050,24.894668,0,121.758742,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402311
2030598,P,CCTV-N5-N-21.815-P,10050,24.894487,0,121.758281,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403803
2030599,P,CCTV-N5-N-21.898-M,10050,24.894106,0,121.759142,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402312
2030600,P,CCTV-N5-N-21.985-M,10050,24.893425,0,121.759606,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402313
2030601,P,CCTV-N5-N-22.073-M,10050,24.892744,0,121.760057,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402314
2030602,P,CCTV-N5-N-22.158-C,10050,24.892029,0,121.760449,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403804
2030603,P,CCTV-N5-N-22.160-M,10050,24.892028,0,121.760574,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402315
2030604,P,CCTV-N5-N-22.247-M,10050,24.891438,0,121.76098,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402316
2030605,P,CCTV-N5-N-22.333-M,10050,24.89072,0,121.761478,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402401
2030606,P,CCTV-N5-N-22.424-M,10050,24.890018,0,121.761969,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402402
2030607,P,CCTV-N5-N-22.510-C,10050,24.889281,0,121.762376,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403805
2030608,P,CCTV-N5-N-22.513-PS,10050,24.889344,0,121.762532,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402403
2030609,P,CCTV-N5-N-22.514-M,10050,24.889274,0,121.762471,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510211501
2030610,P,CCTV-N5-N-22.520-P,10050,24.889112,0,121.762081,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403807
2030611,P,CCTV-N5-N-22.600-M,10050,24.888718,0,121.762875,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402404
2030612,P,CCTV-N5-N-22.684-M,10050,24.888085,0,121.763333,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402405
2030613,P,CCTV-N5-N-22.773-M,10050,24.887414,0,121.763783,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402406
2030614,P,CCTV-N5-N-22.859-C,10050,24.886728,0,121.764097,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403808
2030615,P,CCTV-N5-N-22.861-M,10050,24.886717,0,121.764263,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402407
2030616,P,CCTV-N5-N-22.948-M,10050,24.885997,0,121.764766,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402408
2030617,P,CCTV-N5-N-23.034-PS,10050,24.885361,0,121.76528,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402409
2030618,P,CCTV-N5-N-23.121-M,10050,24.884624,0,121.765696,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402410
2030619,P,CCTV-N5-N-23.207-M,10050,24.884059,0,121.76613,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402411
2030620,P,CCTV-N5-N-23.209-C,10050,24.884007,0,121.766083,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403809
2030621,P,CCTV-N5-N-23.210-P,10050,24.883892,0,121.765846,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403810
2030622,P,CCTV-N5-N-23.222-M,10050,24.883868,0,121.76631,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402412
